X,Y,Keys
1710,535,0
1710,534,0
1710,533,0
1710,532,0
1710,531,0
1710,530,0
1710,529,0
1710,528,0
1710,526,0
1710,524,0
1710,522,0
1710,520,0
1710,518,0
1710,516,0
1710,513,0
1710,510,0
1710,507,0
1709,504,0
1708,501,2
1707,498,2
1706,495,2
1704,492,2
1702,489,2
1699,486,2
1696,483,2
1693,480,2
1689,478,2
1685,476,2
1681,474,2
1676,472,2
1671,471,2
1666,470,2
1661,470,2
1656,470,2
1650,470,2
1644,471,2
1638,473,2
1632,475,2
1626,478,2
1621,481,2
1616,484,2
1611,487,2
1607,490,4
1603,492,4
1599,494,4
1596,496,4
1593,498,4
1590,500,4
1588,501,4
1586,502,4
1584,503,4
1583,504,4
1582,505,4
1581,505,4
